po_1,po_2,export_country,import_country,prod_cat,mode,ori_port,dest_port,size,carrier,vessel,container_no,etd,eta,atd,ata,date,year,month,day,wday,month_sn,day_sn,request_date,confirm_date,pickup_date,empty_arrival_date,arrival_time,loading_date,gatein_date
109188559,,PH,KR,Baby Care,SEA,MICP,PUSAN,40',ONE,NYK SILVIA,KKFU8025739,2019-10-23 00:00:00,2019-10-27 00:00:00,2019-10-23 00:00:00,2019-10-27 00:00:00,2019-10-12 00:00:00,2019,5.0,12,5,201910,315,2019-10-05 00:00:00,2019-10-05 00:00:00,2019-10-12 00:00:00,2019-10-15 00:00:00,1900-01-01 19:12:00,2019-10-15 00:00:00,2019-10-20 00:00:00
109196415,,PH,KR,Baby Care,SEA,MICP,PUSAN,40',ONE,NYK SILVIA,NYKU0784067,2019-10-23 00:00:00,2019-10-27 00:00:00,2019-10-23 00:00:00,2019-10-27 00:00:00,2019-10-12 00:00:00,2019,5.0,12,5,201910,315,2019-10-05 00:00:00,2019-10-05 00:00:00,2019-10-12 00:00:00,2019-10-15 00:00:00,1900-01-01 21:52:00,2019-10-15 00:00:00,2019-10-20 00:00:00
109197004,,PH,KR,Baby Care,SEA,MICP,PUSAN,40',ONE,NYK SILVIA,ONEU0177749,2019-10-23 00:00:00,2019-10-27 00:00:00,2019-10-23 00:00:00,2019-10-27 00:00:00,2019-10-12 00:00:00,2019,5.0,12,5,201910,315,2019-10-05 00:00:00,2019-10-05 00:00:00,2019-10-12 00:00:00,2019-10-16 00:00:00,1900-01-01 21:26:00,2019-10-16 00:00:00,2019-10-20 00:00:00
109198528,,PH,KR,Baby Care,SEA,MICP,PUSAN,40',ONE,NYK SILVIA,DRYU9937622,2019-10-23 00:00:00,2019-10-27 00:00:00,2019-10-23 00:00:00,2019-10-27 00:00:00,2019-10-12 00:00:00,2019,5.0,12,5,201910,315,2019-10-05 00:00:00,2019-10-05 00:00:00,2019-10-12 00:00:00,2019-10-16 00:00:00,1900-01-01 03:45:00,2019-10-16 00:00:00,2019-10-20 00:00:00
109205299,,PH,KR,Baby Care,SEA,MICP,PUSAN,40',ONE,NYK SILVIA,NYKU5251918,2019-10-23 00:00:00,2019-10-27 00:00:00,2019-10-23 00:00:00,2019-10-27 00:00:00,2019-10-12 00:00:00,2019,5.0,12,5,201910,315,2019-10-05 00:00:00,2019-10-05 00:00:00,2019-10-12 00:00:00,2019-10-16 00:00:00,1900-01-01 18:25:00,2019-10-16 00:00:00,2019-10-20 00:00:00
109205519,,PH,KR,Baby Care,SEA,MICP,PUSAN,40',ONE,NYK SILVIA,TCNU4975453,2019-10-23 00:00:00,2019-10-27 00:00:00,2019-10-23 00:00:00,2019-10-27 00:00:00,2019-10-12 00:00:00,2019,5.0,12,5,201910,315,2019-10-05 00:00:00,2019-10-05 00:00:00,2019-10-12 00:00:00,2019-10-16 00:00:00,1900-01-01 22:40:00,2019-10-16 00:00:00,2019-10-20 00:00:00
109193042,,PH,KR,Baby Care,SEA,MICP,PUSAN,40',ONE,ARICA BRIDGE,ONEU0146630,2019-10-28 00:00:00,2019-10-31 00:00:00,2019-10-28 00:00:00,2019-10-31 00:00:00,2019-10-12 00:00:00,2019,5.0,12,5,201910,315,2019-10-05 00:00:00,2019-10-05 00:00:00,2019-10-12 00:00:00,2019-10-16 00:00:00,1900-01-01 22:47:00,2019-10-17 00:00:00,2019-10-22 00:00:00
109196368,,PH,KR,Baby Care,SEA,MICP,PUSAN,40',ONE,ARICA BRIDGE,KKFU8146129,2019-10-28 00:00:00,2019-10-31 00:00:00,2019-10-28 00:00:00,2019-10-31 00:00:00,2019-10-12 00:00:00,2019,5.0,12,5,201910,315,2019-10-05 00:00:00,2019-10-05 00:00:00,2019-10-12 00:00:00,2019-10-16 00:00:00,1900-01-01 22:16:00,2019-10-17 00:00:00,2019-10-22 00:00:00
109207333,,PH,KR,Baby Care,SEA,MICP,PUSAN,40',ONE,ARICA BRIDGE,KKFU8129414,2019-10-28 00:00:00,2019-10-31 00:00:00,2019-10-28 00:00:00,2019-10-31 00:00:00,2019-10-12 00:00:00,2019,5.0,12,5,201910,315,2019-10-05 00:00:00,2019-10-05 00:00:00,2019-10-12 00:00:00,2019-10-17 00:00:00,1900-01-01 10:27:00,2019-10-17 00:00:00,2019-10-22 00:00:00
109211104,,PH,KR,Baby Care,SEA,MICP,PUSAN,40',ONE,ARICA BRIDGE,ONEU0041264,2019-10-28 00:00:00,2019-10-31 00:00:00,2019-10-28 00:00:00,2019-10-31 00:00:00,2019-10-12 00:00:00,2019,5.0,12,5,201910,315,2019-10-05 00:00:00,2019-10-05 00:00:00,2019-10-12 00:00:00,2019-10-17 00:00:00,1900-01-01 11:39:00,2019-10-17 00:00:00,2019-10-22 00:00:00
